------------------------ Sentence Scores --------------------------
====================== HTK Results Analysis =======================
  Date: Mon Sep 22 21:08:01 2014
  Ref : >sh/Documents/ThesisData/ASR/ClassifierTraining/Configs/EvalPhones.mlf
  Rec : >Documents/ThesisData/ASR/ClassifierTraining/Configs/EvalMFCPhones.mlf
-------------------------- File Results ---------------------------
10pmo_050ph-6dB.rec:   30.48(-18.72)  [H= 171, D= 41, S=349, I=276, N=561]
10pmo_050ph00dB.rec:   35.29(-16.76)  [H= 198, D= 57, S=306, I=292, N=561]
10pmo_050ph03dB.rec:   36.90( -9.09)  [H= 207, D= 49, S=305, I=258, N=561]
10pmo_050ph06dB.rec:   39.57( -5.35)  [H= 222, D= 50, S=289, I=252, N=561]
10pmo_100ph-3dB.rec:   33.33(-20.86)  [H= 187, D= 53, S=321, I=304, N=561]
10pmo_100ph-6dB.rec:   32.62(-21.21)  [H= 183, D= 62, S=316, I=302, N=561]
10pmo_100ph00dB.rec:   35.12(-12.66)  [H= 197, D= 45, S=319, I=268, N=561]
10pmo_100ph03dB.rec:   36.54(-10.34)  [H= 205, D= 51, S=305, I=263, N=561]
10pmo_100ph06dB.rec:   39.22( -1.60)  [H= 220, D= 40, S=301, I=229, N=561]
10pmo_500ph-3dB.rec:   33.69(-20.50)  [H= 189, D= 51, S=321, I=304, N=561]
10pmo_500ph-6dB.rec:   31.91(-18.36)  [H= 179, D= 52, S=330, I=282, N=561]
10pmo_500ph00dB.rec:   33.16(-12.30)  [H= 186, D= 46, S=329, I=255, N=561]
10pmo_500ph03dB.rec:   37.25( -7.31)  [H= 209, D= 44, S=308, I=250, N=561]
10pmo_500ph06dB.rec:   39.93( -1.07)  [H= 224, D= 52, S=285, I=230, N=561]
10pms_001ph-3dB.rec:   31.02( -5.53)  [H= 174, D= 46, S=341, I=205, N=561]
10pms_001ph-6dB.rec:   30.66( -6.95)  [H= 172, D= 43, S=346, I=211, N=561]
10pms_001ph00dB.rec:   32.09( -4.46)  [H= 180, D= 54, S=327, I=205, N=561]
10pms_001ph03dB.rec:   34.58( -2.67)  [H= 194, D= 56, S=311, I=209, N=561]
10pms_001ph06dB.rec:   36.01(  3.57)  [H= 202, D= 61, S=298, I=182, N=561]
10pms_005ph-3dB.rec:   30.84( -6.42)  [H= 173, D= 63, S=325, I=209, N=561]
10pms_005ph-6dB.rec:   29.95( -6.77)  [H= 168, D= 32, S=361, I=206, N=561]
10pms_005ph00dB.rec:   30.84( -3.57)  [H= 173, D= 51, S=337, I=193, N=561]
10pms_005ph03dB.rec:   33.87(  0.36)  [H= 190, D= 48, S=323, I=188, N=561]
10pms_005ph06dB.rec:   36.36(  3.74)  [H= 204, D= 54, S=303, I=183, N=561]
10pms_010ph-3dB.rec:   29.95( -6.95)  [H= 168, D= 54, S=339, I=207, N=561]
10pms_010ph-6dB.rec:   29.77( -3.03)  [H= 167, D= 37, S=357, I=184, N=561]
10pms_010ph00dB.rec:   31.55( -3.03)  [H= 177, D= 55, S=329, I=194, N=561]
10pms_010ph03dB.rec:   35.65( -1.43)  [H= 200, D= 59, S=302, I=208, N=561]
10pms_010ph06dB.rec:   37.79(  2.14)  [H= 212, D= 65, S=284, I=200, N=561]
10pms_050ph-3dB.rec:   27.99( -1.60)  [H= 157, D= 33, S=371, I=166, N=561]
10pms_050ph-6dB.rec:   28.70( -6.95)  [H= 161, D= 50, S=350, I=200, N=561]
10pms_050ph00dB.rec:   30.48(  0.00)  [H= 171, D= 55, S=335, I=171, N=561]
10pms_050ph03dB.rec:   33.51(  1.60)  [H= 188, D= 53, S=320, I=179, N=561]
10pms_050ph06dB.rec:   36.54(  6.06)  [H= 205, D= 54, S=302, I=171, N=561]
