algorithm,filename,Input SNR,utterances,pesq,pesqImp,segSNR,segSNRImp
mohammadiaOnline,mohammadiaOnline_001ut-3dB.wav,-3,1,2.274940,-0.057434,8.442968,-0.398595
mohammadiaOnline,mohammadiaOnline_001ut-6dB.wav,-6,1,2.113631,-0.067133,7.010896,-1.530541
mohammadiaOnline,mohammadiaOnline_001ut00dB.wav,0,1,2.480108,-0.016577,9.707217,0.238215
mohammadiaOnline,mohammadiaOnline_001ut03dB.wav,3,1,2.638956,-0.026764,10.010440,-2.503222
mohammadiaOnline,mohammadiaOnline_001ut06dB.wav,6,1,2.801393,-0.030835,13.704105,-1.841027
mohammadiaOnline,mohammadiaOnline_005ut-3dB.wav,-3,5,2.283974,-0.048400,6.785387,-2.056176
mohammadiaOnline,mohammadiaOnline_005ut-6dB.wav,-6,5,2.085655,-0.095109,9.536301,0.994864
mohammadiaOnline,mohammadiaOnline_005ut00dB.wav,0,5,2.460180,-0.036505,6.094825,-3.374177
mohammadiaOnline,mohammadiaOnline_005ut03dB.wav,3,5,2.639106,-0.026614,7.836869,-4.676793
mohammadiaOnline,mohammadiaOnline_005ut06dB.wav,6,5,2.793195,-0.039033,10.310465,-5.234667
mohammadiaOnline,mohammadiaOnline_010ut-3dB.wav,-3,10,2.284932,-0.047442,8.367956,-0.473607
mohammadiaOnline,mohammadiaOnline_010ut-6dB.wav,-6,10,2.094004,-0.086759,11.459289,2.917852
mohammadiaOnline,mohammadiaOnline_010ut00dB.wav,0,10,2.474138,-0.022547,8.514007,-0.954994
mohammadiaOnline,mohammadiaOnline_010ut03dB.wav,3,10,2.618229,-0.047492,12.619721,0.106059
mohammadiaOnline,mohammadiaOnline_010ut06dB.wav,6,10,2.798348,-0.033880,12.595383,-2.949749
mohammadiaOnline,mohammadiaOnline_050ut-3dB.wav,-3,50,2.255581,-0.076793,12.670565,3.829002
mohammadiaOnline,mohammadiaOnline_050ut-6dB.wav,-6,50,2.094168,-0.086596,10.062186,1.520749
mohammadiaOnline,mohammadiaOnline_050ut00dB.wav,0,50,2.458816,-0.037869,14.867873,5.398871
mohammadiaOnline,mohammadiaOnline_050ut03dB.wav,3,50,2.629205,-0.036516,12.632328,0.118666
mohammadiaOnline,mohammadiaOnline_050ut06dB.wav,6,50,2.784364,-0.047864,22.055805,6.510674
mohammadiaOnline,mohammadiaOnline_080ut-3dB.wav,-3,80,2.287166,-0.045208,7.259904,-1.581660
mohammadiaOnline,mohammadiaOnline_080ut-6dB.wav,-6,80,2.079497,-0.101267,9.201619,0.660182
mohammadiaOnline,mohammadiaOnline_080ut00dB.wav,0,80,2.471238,-0.025448,6.487654,-2.981348
mohammadiaOnline,mohammadiaOnline_080ut03dB.wav,3,80,2.629037,-0.036684,8.255407,-4.258256
mohammadiaOnline,mohammadiaOnline_080ut06dB.wav,6,80,2.798625,-0.033603,8.935687,-6.609445
mohammadiaSupervised,mohammadiaSupervised_001ut-3dB.wav,-3,1,2.274386,-0.057988,9.947640,1.106076
mohammadiaSupervised,mohammadiaSupervised_001ut-6dB.wav,-6,1,2.130340,-0.050424,11.636122,3.094685
mohammadiaSupervised,mohammadiaSupervised_001ut00dB.wav,0,1,2.433833,-0.062852,6.679609,-2.789393
mohammadiaSupervised,mohammadiaSupervised_001ut03dB.wav,3,1,2.603116,-0.062604,10.099185,-2.414478
mohammadiaSupervised,mohammadiaSupervised_001ut06dB.wav,6,1,2.785669,-0.046559,14.946713,-0.598418
mohammadiaSupervised,mohammadiaSupervised_005ut-3dB.wav,-3,5,2.074136,-0.258238,10.846490,2.004927
mohammadiaSupervised,mohammadiaSupervised_005ut-6dB.wav,-6,5,2.137173,-0.043591,11.094330,2.552893
mohammadiaSupervised,mohammadiaSupervised_005ut00dB.wav,0,5,2.556088,0.059403,16.663625,7.194623
mohammadiaSupervised,mohammadiaSupervised_005ut03dB.wav,3,5,2.339469,-0.326251,11.011723,-1.501939
mohammadiaSupervised,mohammadiaSupervised_005ut06dB.wav,6,5,2.436074,-0.396154,14.411165,-1.133967
mohammadiaSupervised,mohammadiaSupervised_010ut-3dB.wav,-3,10,2.046089,-0.286285,8.403509,-0.438055
mohammadiaSupervised,mohammadiaSupervised_010ut-6dB.wav,-6,10,2.155336,-0.025427,17.380442,8.839005
mohammadiaSupervised,mohammadiaSupervised_010ut00dB.wav,0,10,2.504623,0.007938,14.793538,5.324536
mohammadiaSupervised,mohammadiaSupervised_010ut03dB.wav,3,10,2.261223,-0.404498,3.553228,-8.960435
mohammadiaSupervised,mohammadiaSupervised_010ut06dB.wav,6,10,2.404464,-0.427764,10.174307,-5.370824
mohammadiaSupervised,mohammadiaSupervised_050ut-3dB.wav,-3,50,2.074092,-0.258282,5.468391,-3.373173
mohammadiaSupervised,mohammadiaSupervised_050ut-6dB.wav,-6,50,2.103982,-0.076782,8.822866,0.281429
mohammadiaSupervised,mohammadiaSupervised_050ut00dB.wav,0,50,2.527996,0.031311,10.020484,0.551482
mohammadiaSupervised,mohammadiaSupervised_050ut03dB.wav,3,50,2.305542,-0.360179,2.489336,-10.024327
mohammadiaSupervised,mohammadiaSupervised_050ut06dB.wav,6,50,2.399431,-0.432797,3.858217,-11.686914
mohammadiaSupervised,mohammadiaSupervised_080ut-3dB.wav,-3,80,2.061226,-0.271148,7.874839,-0.966725
mohammadiaSupervised,mohammadiaSupervised_080ut-6dB.wav,-6,80,2.140164,-0.040600,14.679439,6.138002
mohammadiaSupervised,mohammadiaSupervised_080ut00dB.wav,0,80,2.526531,0.029846,11.923739,2.454737
mohammadiaSupervised,mohammadiaSupervised_080ut03dB.wav,3,80,2.305343,-0.360378,8.877525,-3.636137
mohammadiaSupervised,mohammadiaSupervised_080ut06dB.wav,6,80,2.407311,-0.424917,10.416410,-5.128722
