algorithm,filename,Input SNR,utterances,phonemes,pesq,pesqImp,segSNR,segSNRImp
phonememohammadiaOnline,phonememohammadiaOnline_001ph-6dB.wav,-6,-1,1,2.388186,-0.119937,19.522011,-2.57E+00
phonememohammadiaOnline,phonememohammadiaOnline_001ph00dB.wav,0,-1,1,2.668067,-0.120586,25.307968,-2.29E+00
phonememohammadiaOnline,phonememohammadiaOnline_001ph03dB.wav,3,-1,1,2.81169,-0.125127,20.706086,-8.39E+00
phonememohammadiaOnline,phonememohammadiaOnline_001ph06dB.wav,6,-1,1,2.938088,-0.153873,25.177694,-5.27E+00
phonememohammadiaOnline,phonememohammadiaOnline_005ph-3dB.wav,-3,-1,5,2.539814,-0.106736,19.268472,-5.78E+00
phonememohammadiaOnline,phonememohammadiaOnline_005ph-6dB.wav,-6,-1,5,2.387392,-0.120732,19.038034,-3.06E+00
phonememohammadiaOnline,phonememohammadiaOnline_005ph00dB.wav,0,-1,5,2.673082,-0.115571,21.29395,-6.31E+00
phonememohammadiaOnline,phonememohammadiaOnline_005ph03dB.wav,3,-1,5,2.796845,-0.139973,23.109354,-5.99E+00
phonememohammadiaOnline,phonememohammadiaOnline_005ph06dB.wav,6,-1,5,2.947603,-0.144359,22.986914,-7.46E+00
phonememohammadiaOnline,phonememohammadiaOnline_010ph-3dB.wav,-3,-1,10,2.525584,-0.120966,19.919207,-5.13E+00
phonememohammadiaOnline,phonememohammadiaOnline_010ph-6dB.wav,-6,-1,10,2.397887,-0.110237,18.578558,-3.52E+00
phonememohammadiaOnline,phonememohammadiaOnline_010ph00dB.wav,0,-1,10,2.667903,-0.12075,21.090416,-6.51E+00
phonememohammadiaOnline,phonememohammadiaOnline_010ph03dB.wav,3,-1,10,2.813397,-0.123421,24.421542,-4.68E+00
phonememohammadiaOnline,phonememohammadiaOnline_010ph06dB.wav,6,-1,10,2.938712,-0.15325,23.034109,-7.41E+00
phonememohammadiaOnline,phonememohammadiaOnline_050ph-3dB.wav,-3,-1,50,2.542891,-0.10366,19.922985,-5.13E+00
phonememohammadiaOnline,phonememohammadiaOnline_050ph-6dB.wav,-6,-1,50,2.372873,-0.13525,19.395279,-2.70E+00
phonememohammadiaOnline,phonememohammadiaOnline_050ph00dB.wav,0,-1,50,2.679915,-0.108738,21.412992,-6.19E+00
phonememohammadiaOnline,phonememohammadiaOnline_050ph03dB.wav,3,-1,50,2.796978,-0.13984,21.633769,-7.46E+00
phonememohammadiaOnline,phonememohammadiaOnline_050ph06dB.wav,6,-1,50,2.953286,-0.138676,23.262767,-7.19E+00
phonememohammadiaOnline,phonememohammadiaOnline_100ph-3dB.wav,-3,-1,100,2.522058,-0.124493,19.111205,-5.94E+00
phonememohammadiaOnline,phonememohammadiaOnline_100ph-6dB.wav,-6,-1,100,2.387536,-0.120587,18.145516,-3.95E+00
phonememohammadiaOnline,phonememohammadiaOnline_100ph00dB.wav,0,-1,100,2.661014,-0.127639,21.032298,-6.57E+00
phonememohammadiaOnline,phonememohammadiaOnline_100ph03dB.wav,3,-1,100,2.8202,-0.116618,20.841046,-8.26E+00
phonememohammadiaOnline,phonememohammadiaOnline_100ph06dB.wav,6,-1,100,2.955228,-0.136734,22.732696,-7.72E+00
phonememohammadiaOnline,phonememohammadiaOnline_500ph-3dB.wav,-3,-1,500,2.53667,-0.10988,20.582702,-4.47E+00
phonememohammadiaOnline,phonememohammadiaOnline_500ph-6dB.wav,-6,-1,500,2.367788,-0.140336,18.440099,-3.65E+00
phonememohammadiaOnline,phonememohammadiaOnline_500ph00dB.wav,0,-1,500,2.666922,-0.121731,20.222059,-7.38E+00
phonememohammadiaOnline,phonememohammadiaOnline_500ph03dB.wav,3,-1,500,2.801699,-0.135119,23.825404,-5.27E+00
phonememohammadiaOnline,phonememohammadiaOnline_500ph06dB.wav,6,-1,500,2.943647,-0.148315,24.167097,-6.28E+00
phonememohammadiaSupervised,phonememohammadiaSupervised_001ph-3dB.wav,-3,-1,1,2.31686,-0.32969,13.020518,-1.20E+01
phonememohammadiaSupervised,phonememohammadiaSupervised_001ph-6dB.wav,-6,-1,1,2.120624,-0.3875,14.04108,-8.05E+00
phonememohammadiaSupervised,phonememohammadiaSupervised_001ph00dB.wav,0,-1,1,2.511422,-0.27723,15.148628,-1.25E+01
phonememohammadiaSupervised,phonememohammadiaSupervised_001ph03dB.wav,3,-1,1,2.699752,-0.237065,14.114083,-1.50E+01
phonememohammadiaSupervised,phonememohammadiaSupervised_001ph06dB.wav,6,-1,1,2.853095,-0.238867,13.401446,-1.70E+01
phonememohammadiaSupervised,phonememohammadiaSupervised_005ph-3dB.wav,-3,-1,5,2.282589,-0.363961,14.13524,-1.09E+01
phonememohammadiaSupervised,phonememohammadiaSupervised_005ph-6dB.wav,-6,-1,5,2.104486,-0.403638,14.024822,-8.07E+00
phonememohammadiaSupervised,phonememohammadiaSupervised_005ph00dB.wav,0,-1,5,2.500933,-0.28772,16.091502,-1.15E+01
phonememohammadiaSupervised,phonememohammadiaSupervised_005ph03dB.wav,3,-1,5,2.707654,-0.229164,16.77418,-1.23E+01
phonememohammadiaSupervised,phonememohammadiaSupervised_005ph06dB.wav,6,-1,5,2.835082,-0.25688,15.84462,-1.46E+01
phonememohammadiaSupervised,phonememohammadiaSupervised_010ph-3dB.wav,-3,-1,10,2.286074,-0.360476,15.247327,-9.81E+00
phonememohammadiaSupervised,phonememohammadiaSupervised_010ph-6dB.wav,-6,-1,10,2.103161,-0.404963,13.999628,-8.10E+00
phonememohammadiaSupervised,phonememohammadiaSupervised_010ph00dB.wav,0,-1,10,2.487501,-0.301152,16.419422,-1.12E+01
phonememohammadiaSupervised,phonememohammadiaSupervised_010ph03dB.wav,3,-1,10,2.677774,-0.259044,20.000008,-9.10E+00
phonememohammadiaSupervised,phonememohammadiaSupervised_010ph06dB.wav,6,-1,10,2.834044,-0.257918,16.450062,-1.40E+01
phonememohammadiaSupervised,phonememohammadiaSupervised_050ph-3dB.wav,-3,-1,50,2.278733,-0.367817,14.769278,-1.03E+01
phonememohammadiaSupervised,phonememohammadiaSupervised_050ph-6dB.wav,-6,-1,50,2.103255,-0.404868,15.330211,-6.76E+00
phonememohammadiaSupervised,phonememohammadiaSupervised_050ph00dB.wav,0,-1,50,2.498702,-0.289951,14.653066,-1.29E+01
phonememohammadiaSupervised,phonememohammadiaSupervised_050ph03dB.wav,3,-1,50,2.687608,-0.249209,16.26062,-1.28E+01
phonememohammadiaSupervised,phonememohammadiaSupervised_050ph06dB.wav,6,-1,50,2.85572,-0.236242,15.042027,-1.54E+01
phonememohammadiaSupervised,phonememohammadiaSupervised_100ph-3dB.wav,-3,-1,100,2.29204,-0.35451,14.138652,-1.09E+01
phonememohammadiaSupervised,phonememohammadiaSupervised_100ph-6dB.wav,-6,-1,100,2.090638,-0.417486,13.795768,-8.30E+00
phonememohammadiaSupervised,phonememohammadiaSupervised_100ph00dB.wav,0,-1,100,2.489673,-0.29898,14.800372,-1.28E+01
phonememohammadiaSupervised,phonememohammadiaSupervised_100ph03dB.wav,3,-1,100,2.688189,-0.248629,15.83108,-1.33E+01
phonememohammadiaSupervised,phonememohammadiaSupervised_100ph06dB.wav,6,-1,100,2.865932,-0.22603,15.047687,-1.54E+01
phonememohammadiaSupervised,phonememohammadiaSupervised_500ph-3dB.wav,-3,-1,500,2.30361,-0.342941,14.296791,-1.08E+01
phonememohammadiaSupervised,phonememohammadiaSupervised_500ph-6dB.wav,-6,-1,500,2.121284,-0.386839,13.525265,-8.57E+00
phonememohammadiaSupervised,phonememohammadiaSupervised_500ph00dB.wav,0,-1,500,2.533717,-0.254936,15.89217,-1.17E+01
phonememohammadiaSupervised,phonememohammadiaSupervised_500ph03dB.wav,3,-1,500,2.712997,-0.223821,15.139122,-1.40E+01
phonememohammadiaSupervised,phonememohammadiaSupervised_500ph06dB.wav,6,-1,500,2.870928,-0.221033,16.72226,-1.37E+01
