"testNo","algorithm","Input.SNR","utterances","phonemes","filename","pesq","pesqImp","segSNR","segSNRImp","testName","MOS","MOSle","CMOS","PRRcorr","PRRacc","PRRdels","PRRsubs","PRRinss","PRRn","PRRcorrImp","PRRaccImp"
1,"mohammadiaSupervised",-3,1,NA,"mohammadiaSupervised_001ut-3dB.wav",1.394851,-0.165099,2.951,1.021109,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",-3,3,NA,"mohammadiaSupervised_003ut-3dB.wav",1.425384,-0.134565,7.048204,5.118313,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",-3,5,NA,"mohammadiaSupervised_005ut-3dB.wav",1.40649,-0.15346,3.122661,1.19277,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",-3,10,NA,"mohammadiaSupervised_010ut-3dB.wav",1.395273,-0.164676,2.291267,0.361376,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",-3,15,NA,"mohammadiaSupervised_015ut-3dB.wav",1.411803,-0.148147,0.412253,-1.517638,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",-3,20,NA,"mohammadiaSupervised_020ut-3dB.wav",1.405608,-0.154342,0.756036,-1.173855,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",-3,30,NA,"mohammadiaSupervised_030ut-3dB.wav",1.395593,-0.164356,3.214526,1.284635,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",-3,40,NA,"mohammadiaSupervised_040ut-3dB.wav",1.36805,-0.191899,6.506893,4.577002,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",-3,50,NA,"mohammadiaSupervised_050ut-3dB.wav",1.361125,-0.198825,3.752397,1.822506,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",-3,60,NA,"mohammadiaSupervised_060ut-3dB.wav",1.336295,-0.223654,5.772428,3.842537,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",-3,70,NA,"mohammadiaSupervised_070ut-3dB.wav",1.374052,-0.185898,5.141484,3.211593,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",-3,80,NA,"mohammadiaSupervised_080ut-3dB.wav",1.36402,-0.195929,6.534912,4.605021,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",0,1,NA,"mohammadiaSupervised_001ut00dB.wav",1.581696,-0.151812,3.578472,1.923194,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",0,3,NA,"mohammadiaSupervised_003ut00dB.wav",1.563591,-0.169917,5.995302,4.340025,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",0,5,NA,"mohammadiaSupervised_005ut00dB.wav",1.561135,-0.172374,4.59084,2.935562,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",0,10,NA,"mohammadiaSupervised_010ut00dB.wav",1.56708,-0.166429,3.892764,2.237486,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",0,15,NA,"mohammadiaSupervised_015ut00dB.wav",1.570988,-0.162521,5.184972,3.529694,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",0,20,NA,"mohammadiaSupervised_020ut00dB.wav",1.580766,-0.152743,5.788315,4.133038,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",0,30,NA,"mohammadiaSupervised_030ut00dB.wav",1.573963,-0.159546,3.988365,2.333087,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",0,40,NA,"mohammadiaSupervised_040ut00dB.wav",1.628541,-0.104968,3.677632,2.022354,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",0,50,NA,"mohammadiaSupervised_050ut00dB.wav",1.584875,-0.148633,2.195657,0.54038,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",0,60,NA,"mohammadiaSupervised_060ut00dB.wav",1.582043,-0.151466,3.34947,1.694192,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",0,70,NA,"mohammadiaSupervised_070ut00dB.wav",1.574279,-0.15923,3.442923,1.787645,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",0,80,NA,"mohammadiaSupervised_080ut00dB.wav",1.597764,-0.135745,4.89162,3.236342,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",3,1,NA,"mohammadiaSupervised_001ut03dB.wav",2.056244,0.16052,13.092717,-0.396504,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",3,3,NA,"mohammadiaSupervised_003ut03dB.wav",2.10206,0.206336,10.559322,-2.929899,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",3,5,NA,"mohammadiaSupervised_005ut03dB.wav",2.064957,0.169232,12.119057,-1.370164,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",3,10,NA,"mohammadiaSupervised_010ut03dB.wav",2.047206,0.151481,10.714461,-2.77476,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",3,15,NA,"mohammadiaSupervised_015ut03dB.wav",2.034169,0.138444,8.560948,-4.928273,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",3,20,NA,"mohammadiaSupervised_020ut03dB.wav",2.021643,0.125918,7.855792,-5.633429,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",3,30,NA,"mohammadiaSupervised_030ut03dB.wav",1.969564,0.073839,12.948098,-0.541123,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",3,40,NA,"mohammadiaSupervised_040ut03dB.wav",1.997285,0.10156,13.779119,0.289898,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",3,50,NA,"mohammadiaSupervised_050ut03dB.wav",1.98124,0.085515,13.682776,0.193555,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",3,60,NA,"mohammadiaSupervised_060ut03dB.wav",2.003901,0.108177,12.698378,-0.790843,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",3,70,NA,"mohammadiaSupervised_070ut03dB.wav",1.976916,0.081191,11.985469,-1.503752,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"mohammadiaSupervised",3,80,NA,"mohammadiaSupervised_080ut03dB.wav",1.974295,0.07857,13.731563,0.242342,"SoI = c3c(f)
Noise = c3f(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaOnline",-6,1,NA,"mohammadiaOnline_001ut-6dB.wav",1.771044,-0.110419,-7.209228,0.786974,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaOnline",-6,5,NA,"mohammadiaOnline_005ut-6dB.wav",1.750583,-0.13088,-7.220302,0.7759,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaOnline",-6,10,NA,"mohammadiaOnline_010ut-6dB.wav",1.772986,-0.108477,-7.764641,0.231561,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaOnline",-6,50,NA,"mohammadiaOnline_050ut-6dB.wav",1.761499,-0.119964,-7.825926,0.170275,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaOnline",-6,80,NA,"mohammadiaOnline_080ut-6dB.wav",1.774585,-0.106878,-7.829923,0.166279,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaOnline",-3,1,NA,"mohammadiaOnline_001ut-3dB.wav",1.935719,-0.136733,-7.374715,0.519643,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaOnline",-3,5,NA,"mohammadiaOnline_005ut-3dB.wav",1.928744,-0.143708,-7.015632,0.878727,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaOnline",-3,10,NA,"mohammadiaOnline_010ut-3dB.wav",1.946911,-0.125541,-7.668365,0.225993,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaOnline",-3,50,NA,"mohammadiaOnline_050ut-3dB.wav",1.943082,-0.12937,-7.630524,0.263835,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaOnline",-3,80,NA,"mohammadiaOnline_080ut-3dB.wav",1.956879,-0.115573,-7.573099,0.32126,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaOnline",0,1,NA,"mohammadiaOnline_001ut00dB.wav",2.000724,-0.263789,-2.37644,-0.77489,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaOnline",0,5,NA,"mohammadiaOnline_005ut00dB.wav",1.987673,-0.27684,-4.015206,-2.413657,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaOnline",0,10,NA,"mohammadiaOnline_010ut00dB.wav",2.002243,-0.26227,-2.616508,-1.014959,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"mohammadiaOnline",0,50,NA,"mohammadiaOnline_050ut00dB.wav",2.001661,-0.262852,-2.748265,-1.146716,"SoI = c3l(f)
Noise = c31(m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
