algorithm,filename,Input SNR,utterances,pesq,pesqImp,segSNR,segSNRImp
mohammadiaSupervised,mohammadiaSupervised_001ut-3dB.wav,-3,1,1.671261,-0.437051,-4.654981,-0.197404
mohammadiaSupervised,mohammadiaSupervised_001ut00dB.wav,0,1,2.006779,-0.256794,2.612740,-6.307336
mohammadiaSupervised,mohammadiaSupervised_001ut03dB.wav,3,1,2.208782,-0.223128,4.589558,-1.135139
mohammadiaSupervised,mohammadiaSupervised_003ut-3dB.wav,-3,3,1.786905,-0.321407,-6.244506,-1.786928
mohammadiaSupervised,mohammadiaSupervised_003ut00dB.wav,0,3,1.951400,-0.312173,5.670888,-3.249187
mohammadiaSupervised,mohammadiaSupervised_003ut03dB.wav,3,3,2.261560,-0.170350,2.737862,-2.986835
mohammadiaSupervised,mohammadiaSupervised_005ut-3dB.wav,-3,5,1.721277,-0.387035,-6.253522,-1.795944
mohammadiaSupervised,mohammadiaSupervised_005ut00dB.wav,0,5,1.941252,-0.322321,2.370283,-6.549793
mohammadiaSupervised,mohammadiaSupervised_005ut03dB.wav,3,5,2.216753,-0.215158,8.591160,2.866463
mohammadiaSupervised,mohammadiaSupervised_010ut-3dB.wav,-3,10,1.736104,-0.372207,-6.572512,-2.114934
mohammadiaSupervised,mohammadiaSupervised_010ut00dB.wav,0,10,2.007639,-0.255934,7.564892,-1.355183
mohammadiaSupervised,mohammadiaSupervised_010ut03dB.wav,3,10,2.217174,-0.214737,0.987844,-4.736853
mohammadiaSupervised,mohammadiaSupervised_015ut-3dB.wav,-3,15,1.838461,-0.269851,5.238505,9.696083
mohammadiaSupervised,mohammadiaSupervised_015ut00dB.wav,0,15,2.002191,-0.261383,1.144839,-7.775236
mohammadiaSupervised,mohammadiaSupervised_015ut03dB.wav,3,15,2.241279,-0.190631,-2.091190,-7.815887
mohammadiaSupervised,mohammadiaSupervised_020ut-3dB.wav,-3,20,1.718559,-0.389752,6.672951,11.130529
mohammadiaSupervised,mohammadiaSupervised_020ut00dB.wav,0,20,2.032886,-0.230688,4.730489,-4.189587
mohammadiaSupervised,mohammadiaSupervised_020ut03dB.wav,3,20,2.243220,-0.188691,-2.403853,-8.128550
mohammadiaSupervised,mohammadiaSupervised_030ut-3dB.wav,-3,30,1.820419,-0.287893,3.348079,7.805657
mohammadiaSupervised,mohammadiaSupervised_030ut00dB.wav,0,30,1.917969,-0.345604,2.306312,-6.613763
mohammadiaSupervised,mohammadiaSupervised_030ut03dB.wav,3,30,2.269190,-0.162721,2.404205,-3.320492
mohammadiaSupervised,mohammadiaSupervised_040ut-3dB.wav,-3,40,1.674178,-0.434133,-5.063541,-0.605963
mohammadiaSupervised,mohammadiaSupervised_040ut00dB.wav,0,40,2.002769,-0.260804,8.505313,-0.414763
mohammadiaSupervised,mohammadiaSupervised_040ut03dB.wav,3,40,2.274651,-0.157260,9.377153,3.652456
mohammadiaSupervised,mohammadiaSupervised_050ut-3dB.wav,-3,50,1.772787,-0.335524,-1.813706,2.643872
mohammadiaSupervised,mohammadiaSupervised_050ut00dB.wav,0,50,1.975931,-0.287643,3.409623,-5.510452
mohammadiaSupervised,mohammadiaSupervised_050ut03dB.wav,3,50,2.286755,-0.145156,7.953020,2.228323
mohammadiaSupervised,mohammadiaSupervised_060ut-3dB.wav,-3,60,1.701321,-0.406990,-6.608744,-2.151166
mohammadiaSupervised,mohammadiaSupervised_060ut00dB.wav,0,60,2.066782,-0.196791,5.251087,-3.668989
mohammadiaSupervised,mohammadiaSupervised_060ut03dB.wav,3,60,2.301941,-0.129970,8.263862,2.539165
mohammadiaSupervised,mohammadiaSupervised_070ut-3dB.wav,-3,70,1.732968,-0.375344,-5.064785,-0.607207
mohammadiaSupervised,mohammadiaSupervised_070ut00dB.wav,0,70,1.951319,-0.312255,7.972079,-0.947997
mohammadiaSupervised,mohammadiaSupervised_070ut03dB.wav,3,70,2.247470,-0.184440,6.309010,0.584313
mohammadiaSupervised,mohammadiaSupervised_080ut-3dB.wav,-3,80,1.619524,-0.488787,-6.577671,-2.120093
mohammadiaSupervised,mohammadiaSupervised_080ut00dB.wav,0,80,1.993113,-0.270460,7.341823,-1.578252
mohammadiaSupervised,mohammadiaSupervised_080ut03dB.wav,3,80,2.277721,-0.154189,6.713800,0.989103
