algorithm,filename,Input SNR,utterances,pesq,pesqImp,segSNR,segSNRImp
mohammadiaOnline,mohammadiaOnline_001ut-3dB.wav,-3,1,1.823998,-0.211148,13.645227,5.628312
mohammadiaOnline,mohammadiaOnline_001ut-6dB.wav,-6,1,1.755631,-0.115930,9.043338,3.855230
mohammadiaOnline,mohammadiaOnline_001ut00dB.wav,0,1,2.071010,-0.137968,15.523581,4.594324
mohammadiaOnline,mohammadiaOnline_001ut03dB.wav,3,1,2.291529,-0.096375,12.017318,-1.862502
mohammadiaOnline,mohammadiaOnline_001ut06dB.wav,6,1,2.473482,-0.078211,18.854750,2.001591
mohammadiaOnline,mohammadiaOnline_010ut-3dB.wav,-3,10,1.797321,-0.237825,13.140668,5.123753
mohammadiaOnline,mohammadiaOnline_010ut-6dB.wav,-6,10,1.583492,-0.288069,10.641088,5.452980
mohammadiaOnline,mohammadiaOnline_010ut00dB.wav,0,10,2.033725,-0.175253,13.100278,2.171021
mohammadiaOnline,mohammadiaOnline_010ut03dB.wav,3,10,2.252869,-0.135035,14.351863,0.472043
mohammadiaOnline,mohammadiaOnline_010ut06dB.wav,6,10,2.445391,-0.106301,15.146329,-1.706830
mohammadiaOnline,mohammadiaOnline_050ut-3dB.wav,-3,50,1.778200,-0.256946,11.327544,3.310629
mohammadiaOnline,mohammadiaOnline_050ut-6dB.wav,-6,50,1.574489,-0.297072,8.544779,3.356671
mohammadiaOnline,mohammadiaOnline_050ut00dB.wav,0,50,2.043358,-0.165620,14.695277,3.766020
mohammadiaOnline,mohammadiaOnline_050ut03dB.wav,3,50,2.240735,-0.147169,16.883613,3.003794
mohammadiaOnline,mohammadiaOnline_050ut06dB.wav,6,50,2.444721,-0.106972,16.808553,-0.044606
mohammadiaOnline,mohammadiaOnline_080ut-3dB.wav,-3,80,1.808735,-0.226411,11.463861,3.446946
mohammadiaOnline,mohammadiaOnline_080ut-6dB.wav,-6,80,1.637290,-0.234270,8.958586,3.770478
mohammadiaOnline,mohammadiaOnline_080ut00dB.wav,0,80,2.025651,-0.183326,11.989612,1.060355
mohammadiaOnline,mohammadiaOnline_080ut03dB.wav,3,80,2.244715,-0.143189,13.783780,-0.096040
mohammadiaOnline,mohammadiaOnline_080ut06dB.wav,6,80,2.443342,-0.108350,12.983505,-3.869654
mohammadiaSupervised,mohammadiaSupervised_001ut-3dB.wav,-3,1,1.896335,-0.138811,-2.738203,-10.755118
mohammadiaSupervised,mohammadiaSupervised_001ut-6dB.wav,-6,1,1.778526,-0.093034,0.624423,-4.563685
mohammadiaSupervised,mohammadiaSupervised_001ut00dB.wav,0,1,2.063239,-0.145739,-1.952110,-12.881367
mohammadiaSupervised,mohammadiaSupervised_001ut03dB.wav,3,1,2.194725,-0.193179,-3.098290,-16.978109
mohammadiaSupervised,mohammadiaSupervised_001ut06dB.wav,6,1,2.397581,-0.154112,-1.120145,-17.973304
mohammadiaSupervised,mohammadiaSupervised_010ut-3dB.wav,-3,10,1.768455,-0.266691,-2.808903,-10.825818
mohammadiaSupervised,mohammadiaSupervised_010ut-6dB.wav,-6,10,1.661529,-0.210032,-1.344361,-6.532470
mohammadiaSupervised,mohammadiaSupervised_010ut00dB.wav,0,10,1.910102,-0.298876,-0.091292,-11.020549
mohammadiaSupervised,mohammadiaSupervised_010ut03dB.wav,3,10,2.053623,-0.334281,2.705835,-11.173985
mohammadiaSupervised,mohammadiaSupervised_010ut06dB.wav,6,10,2.240229,-0.311463,2.014832,-14.838327
mohammadiaSupervised,mohammadiaSupervised_050ut-3dB.wav,-3,50,1.776813,-0.258333,-1.282662,-9.299576
mohammadiaSupervised,mohammadiaSupervised_050ut-6dB.wav,-6,50,1.661493,-0.210067,-2.450871,-7.638979
mohammadiaSupervised,mohammadiaSupervised_050ut00dB.wav,0,50,1.933609,-0.275369,-2.331391,-13.260648
mohammadiaSupervised,mohammadiaSupervised_050ut03dB.wav,3,50,2.091932,-0.295972,0.352914,-13.526905
mohammadiaSupervised,mohammadiaSupervised_050ut06dB.wav,6,50,2.262670,-0.289023,-0.540496,-17.393655
mohammadiaSupervised,mohammadiaSupervised_080ut-3dB.wav,-3,80,1.781629,-0.253517,-1.437846,-9.454760
mohammadiaSupervised,mohammadiaSupervised_080ut-6dB.wav,-6,80,1.646865,-0.224696,-0.360619,-5.548727
mohammadiaSupervised,mohammadiaSupervised_080ut00dB.wav,0,80,1.932729,-0.276249,0.646992,-10.282265
mohammadiaSupervised,mohammadiaSupervised_080ut03dB.wav,3,80,2.107927,-0.279977,2.473852,-11.405967
mohammadiaSupervised,mohammadiaSupervised_080ut06dB.wav,6,80,2.255674,-0.296018,3.400979,-13.452180
