algorithm,filename,Input SNR,utterances,pesq,pesqImp,segSNR,segSNRImp
mohammadiaOnline,mohammadiaOnline_080ut00dB.wav,0,80,2.516142,-0.220622,15.955102,-11.534827
mohammadiaOnline,mohammadiaOnline_080ut03dB.wav,3,80,2.591633,-0.305967,21.879974,-7.270013
mohammadiaOnline,mohammadiaOnline_080ut06dB.wav,6,80,2.735379,-0.318367,24.675983,-5.880826
mohammadiaSupervised,mohammadiaSupervised_001ut-3dB.wav,-3,1,2.249319,-0.338562,22.270151,-2.805408
mohammadiaSupervised,mohammadiaSupervised_001ut-6dB.wav,-6,1,2.080639,-0.367609,18.130274,2.210241
mohammadiaSupervised,mohammadiaSupervised_001ut00dB.wav,0,1,2.405355,-0.331410,17.061194,-10.428735
mohammadiaSupervised,mohammadiaSupervised_001ut03dB.wav,3,1,2.560528,-0.337072,15.502410,-13.647577
mohammadiaSupervised,mohammadiaSupervised_001ut06dB.wav,6,1,2.734971,-0.318774,23.052656,-7.504154
mohammadiaSupervised,mohammadiaSupervised_005ut-3dB.wav,-3,5,2.251564,-0.336317,21.481794,-3.593765
mohammadiaSupervised,mohammadiaSupervised_005ut-6dB.wav,-6,5,2.067487,-0.380760,15.786631,-0.133402
mohammadiaSupervised,mohammadiaSupervised_005ut00dB.wav,0,5,2.440233,-0.296532,18.034536,-9.455393
mohammadiaSupervised,mohammadiaSupervised_005ut03dB.wav,3,5,2.615164,-0.282437,14.760831,-14.389156
mohammadiaSupervised,mohammadiaSupervised_005ut06dB.wav,6,5,2.769187,-0.284558,18.817941,-11.738869
mohammadiaSupervised,mohammadiaSupervised_010ut-3dB.wav,-3,10,2.250066,-0.337815,14.513245,-10.562314
mohammadiaSupervised,mohammadiaSupervised_010ut-6dB.wav,-6,10,2.059972,-0.388276,22.481830,6.561796
mohammadiaSupervised,mohammadiaSupervised_010ut00dB.wav,0,10,2.425619,-0.311145,12.449819,-15.040110
mohammadiaSupervised,mohammadiaSupervised_010ut03dB.wav,3,10,2.587814,-0.309786,12.214663,-16.935324
mohammadiaSupervised,mohammadiaSupervised_010ut06dB.wav,6,10,2.730391,-0.323354,12.730266,-17.826544
mohammadiaSupervised,mohammadiaSupervised_050ut-3dB.wav,-3,50,2.262142,-0.325739,9.151664,-15.923895
mohammadiaSupervised,mohammadiaSupervised_050ut-6dB.wav,-6,50,2.062698,-0.385550,8.250164,-7.669869
mohammadiaSupervised,mohammadiaSupervised_050ut00dB.wav,0,50,2.405147,-0.331618,9.289966,-18.199963
mohammadiaSupervised,mohammadiaSupervised_050ut03dB.wav,3,50,2.614900,-0.282701,14.247743,-14.902244
mohammadiaSupervised,mohammadiaSupervised_050ut06dB.wav,6,50,2.752227,-0.301518,18.122134,-12.434676
mohammadiaSupervised,mohammadiaSupervised_080ut-3dB.wav,-3,80,2.238193,-0.349688,11.436518,-13.639042
mohammadiaSupervised,mohammadiaSupervised_080ut-6dB.wav,-6,80,2.052283,-0.395965,8.818939,-7.101094
mohammadiaSupervised,mohammadiaSupervised_080ut00dB.wav,0,80,2.385188,-0.351576,14.227327,-13.262602
mohammadiaSupervised,mohammadiaSupervised_080ut03dB.wav,3,80,2.580222,-0.317379,13.111847,-16.038140
mohammadiaSupervised,mohammadiaSupervised_080ut06dB.wav,6,80,2.745513,-0.308233,13.886603,-16.670207
