algorithm,filename,Input SNR,utterances,pesq,pesqImp,segSNR,segSNRImp
mohammadiaOnline,mohammadiaOnline_001ut-3dB.wav,-3,1,2.342791,-0.245090,17.424052,-7.651507
mohammadiaOnline,mohammadiaOnline_001ut-6dB.wav,-6,1,2.205389,-0.242859,18.246632,2.326599
mohammadiaOnline,mohammadiaOnline_001ut00dB.wav,0,1,2.510683,-0.226082,21.009873,-6.480056
mohammadiaOnline,mohammadiaOnline_001ut03dB.wav,3,1,2.604421,-0.293180,11.785352,-17.364635
mohammadiaOnline,mohammadiaOnline_001ut06dB.wav,6,1,2.745611,-0.308135,13.853536,-16.703274
mohammadiaOnline,mohammadiaOnline_005ut-3dB.wav,-3,5,2.349388,-0.238493,20.413762,-4.661798
mohammadiaOnline,mohammadiaOnline_005ut-6dB.wav,-6,5,2.202331,-0.245917,17.197082,1.277048
mohammadiaOnline,mohammadiaOnline_005ut00dB.wav,0,5,2.510889,-0.225875,24.993865,-2.496065
mohammadiaOnline,mohammadiaOnline_005ut03dB.wav,3,5,2.615931,-0.281669,12.801601,-16.348386
mohammadiaOnline,mohammadiaOnline_005ut06dB.wav,6,5,2.758840,-0.294905,13.513249,-17.043560
mohammadiaOnline,mohammadiaOnline_010ut-3dB.wav,-3,10,2.352753,-0.235128,16.566468,-8.509091
mohammadiaOnline,mohammadiaOnline_010ut-6dB.wav,-6,10,2.215410,-0.232838,21.289325,5.369292
mohammadiaOnline,mohammadiaOnline_010ut00dB.wav,0,10,2.490779,-0.245986,13.362363,-14.127566
mohammadiaOnline,mohammadiaOnline_010ut03dB.wav,3,10,2.621312,-0.276288,11.625603,-17.524384
mohammadiaOnline,mohammadiaOnline_010ut06dB.wav,6,10,2.760604,-0.293141,12.175872,-18.380938
mohammadiaOnline,mohammadiaOnline_050ut-3dB.wav,-3,50,2.302267,-0.285614,14.109048,-10.966512
mohammadiaOnline,mohammadiaOnline_050ut-6dB.wav,-6,50,2.173483,-0.274765,10.859564,-5.060470
mohammadiaOnline,mohammadiaOnline_050ut00dB.wav,0,50,2.527013,-0.209751,15.169964,-12.319965
mohammadiaOnline,mohammadiaOnline_050ut03dB.wav,3,50,2.589493,-0.308108,23.644291,-5.505696
mohammadiaOnline,mohammadiaOnline_050ut06dB.wav,6,50,2.730326,-0.323419,22.215479,-8.341331
mohammadiaOnline,mohammadiaOnline_080ut-3dB.wav,-3,80,2.321469,-0.266412,13.015559,-12.060000
mohammadiaOnline,mohammadiaOnline_080ut-6dB.wav,-6,80,2.178175,-0.270073,8.540894,-7.379140
