algorithm,filename,Input SNR,utterances,pesq,pesqImp,segSNR,segSNRImp
mohammadiaOnline,mohammadiaOnline_001ut-3dB.wav,-3,1,1.771271,-0.337040,-2.962529,1.495048
mohammadiaOnline,mohammadiaOnline_001ut-6dB.wav,-6,1,1.557297,-0.400009,-2.867958,1.468844
mohammadiaOnline,mohammadiaOnline_001ut00dB.wav,0,1,1.948635,-0.314938,4.795415,-4.124660
mohammadiaOnline,mohammadiaOnline_001ut03dB.wav,3,1,2.168310,-0.263601,11.667911,5.943214
mohammadiaOnline,mohammadiaOnline_001ut06dB.wav,6,1,2.361065,-0.257014,9.424870,2.887279
mohammadiaOnline,mohammadiaOnline_005ut-3dB.wav,-3,5,1.777631,-0.330680,-3.152178,1.305399
mohammadiaOnline,mohammadiaOnline_005ut-6dB.wav,-6,5,1.567173,-0.390133,-2.948982,1.387820
mohammadiaOnline,mohammadiaOnline_005ut00dB.wav,0,5,1.957750,-0.305823,4.401184,-4.518891
mohammadiaOnline,mohammadiaOnline_005ut03dB.wav,3,5,2.149765,-0.282146,11.300880,5.576183
mohammadiaOnline,mohammadiaOnline_005ut06dB.wav,6,5,2.348501,-0.269578,11.725980,5.188389
mohammadiaOnline,mohammadiaOnline_010ut-3dB.wav,-3,10,1.763248,-0.345064,-3.116675,1.340902
mohammadiaOnline,mohammadiaOnline_010ut-6dB.wav,-6,10,1.557183,-0.400123,-3.172396,1.164406
mohammadiaOnline,mohammadiaOnline_010ut00dB.wav,0,10,1.942993,-0.320580,4.717743,-4.202332
mohammadiaOnline,mohammadiaOnline_010ut03dB.wav,3,10,2.169780,-0.262130,11.588197,5.863500
mohammadiaOnline,mohammadiaOnline_010ut06dB.wav,6,10,2.355671,-0.262407,12.327893,5.790302
mohammadiaOnline,mohammadiaOnline_050ut-3dB.wav,-3,50,1.725751,-0.382561,-2.877197,1.580380
mohammadiaOnline,mohammadiaOnline_050ut-6dB.wav,-6,50,1.505702,-0.451604,-2.792401,1.544401
mohammadiaOnline,mohammadiaOnline_050ut00dB.wav,0,50,1.913436,-0.350138,3.116391,-5.803685
mohammadiaOnline,mohammadiaOnline_050ut03dB.wav,3,50,2.114055,-0.317856,7.055136,1.330439
mohammadiaOnline,mohammadiaOnline_050ut06dB.wav,6,50,2.326291,-0.291788,8.006774,1.469183
mohammadiaOnline,mohammadiaOnline_080ut-3dB.wav,-3,80,1.784845,-0.323467,-4.035857,0.421721
mohammadiaOnline,mohammadiaOnline_080ut-6dB.wav,-6,80,1.592880,-0.364426,-3.773919,0.562883
mohammadiaOnline,mohammadiaOnline_080ut00dB.wav,0,80,1.955998,-0.307575,8.266891,-0.653184
mohammadiaOnline,mohammadiaOnline_080ut03dB.wav,3,80,2.155215,-0.276696,8.228602,2.503905
mohammadiaOnline,mohammadiaOnline_080ut06dB.wav,6,80,2.359482,-0.258597,7.988531,1.450940
mohammadiaSupervised,mohammadiaSupervised_001ut-3dB.wav,-3,1,1.671261,-0.437051,-4.654981,-0.197404
mohammadiaSupervised,mohammadiaSupervised_001ut00dB.wav,0,1,2.006779,-0.256794,2.612740,-6.307336
mohammadiaSupervised,mohammadiaSupervised_001ut03dB.wav,3,1,2.208782,-0.223128,4.589558,-1.135139
mohammadiaSupervised,mohammadiaSupervised_003ut-3dB.wav,-3,3,1.786905,-0.321407,-6.244506,-1.786928
mohammadiaSupervised,mohammadiaSupervised_003ut00dB.wav,0,3,1.951400,-0.312173,5.670888,-3.249187
mohammadiaSupervised,mohammadiaSupervised_003ut03dB.wav,3,3,2.261560,-0.170350,2.737862,-2.986835
mohammadiaSupervised,mohammadiaSupervised_005ut-3dB.wav,-3,5,1.721277,-0.387035,-6.253522,-1.795944
mohammadiaSupervised,mohammadiaSupervised_005ut00dB.wav,0,5,1.941252,-0.322321,2.370283,-6.549793
mohammadiaSupervised,mohammadiaSupervised_005ut03dB.wav,3,5,2.216753,-0.215158,8.591160,2.866463
mohammadiaSupervised,mohammadiaSupervised_010ut-3dB.wav,-3,10,1.736104,-0.372207,-6.572512,-2.114934
mohammadiaSupervised,mohammadiaSupervised_010ut00dB.wav,0,10,2.007639,-0.255934,7.564892,-1.355183
mohammadiaSupervised,mohammadiaSupervised_010ut03dB.wav,3,10,2.217174,-0.214737,0.987844,-4.736853
mohammadiaSupervised,mohammadiaSupervised_015ut-3dB.wav,-3,15,1.838461,-0.269851,5.238505,9.696083
mohammadiaSupervised,mohammadiaSupervised_015ut00dB.wav,0,15,2.002191,-0.261383,1.144839,-7.775236
mohammadiaSupervised,mohammadiaSupervised_015ut03dB.wav,3,15,2.241279,-0.190631,-2.091190,-7.815887
mohammadiaSupervised,mohammadiaSupervised_020ut-3dB.wav,-3,20,1.718559,-0.389752,6.672951,11.130529
mohammadiaSupervised,mohammadiaSupervised_020ut00dB.wav,0,20,2.032886,-0.230688,4.730489,-4.189587
mohammadiaSupervised,mohammadiaSupervised_020ut03dB.wav,3,20,2.243220,-0.188691,-2.403853,-8.128550
mohammadiaSupervised,mohammadiaSupervised_030ut-3dB.wav,-3,30,1.820419,-0.287893,3.348079,7.805657
mohammadiaSupervised,mohammadiaSupervised_030ut00dB.wav,0,30,1.917969,-0.345604,2.306312,-6.613763
mohammadiaSupervised,mohammadiaSupervised_030ut03dB.wav,3,30,2.269190,-0.162721,2.404205,-3.320492
mohammadiaSupervised,mohammadiaSupervised_040ut-3dB.wav,-3,40,1.674178,-0.434133,-5.063541,-0.605963
mohammadiaSupervised,mohammadiaSupervised_040ut00dB.wav,0,40,2.002769,-0.260804,8.505313,-0.414763
mohammadiaSupervised,mohammadiaSupervised_040ut03dB.wav,3,40,2.274651,-0.157260,9.377153,3.652456
mohammadiaSupervised,mohammadiaSupervised_050ut-3dB.wav,-3,50,1.772787,-0.335524,-1.813706,2.643872
mohammadiaSupervised,mohammadiaSupervised_050ut00dB.wav,0,50,1.975931,-0.287643,3.409623,-5.510452
mohammadiaSupervised,mohammadiaSupervised_050ut03dB.wav,3,50,2.286755,-0.145156,7.953020,2.228323
mohammadiaSupervised,mohammadiaSupervised_060ut-3dB.wav,-3,60,1.701321,-0.406990,-6.608744,-2.151166
mohammadiaSupervised,mohammadiaSupervised_060ut00dB.wav,0,60,2.066782,-0.196791,5.251087,-3.668989
mohammadiaSupervised,mohammadiaSupervised_060ut03dB.wav,3,60,2.301941,-0.129970,8.263862,2.539165
mohammadiaSupervised,mohammadiaSupervised_070ut-3dB.wav,-3,70,1.732968,-0.375344,-5.064785,-0.607207
mohammadiaSupervised,mohammadiaSupervised_070ut00dB.wav,0,70,1.951319,-0.312255,7.972079,-0.947997
mohammadiaSupervised,mohammadiaSupervised_070ut03dB.wav,3,70,2.247470,-0.184440,6.309010,0.584313
mohammadiaSupervised,mohammadiaSupervised_080ut-3dB.wav,-3,80,1.619524,-0.488787,-6.577671,-2.120093
mohammadiaSupervised,mohammadiaSupervised_080ut00dB.wav,0,80,1.993113,-0.270460,7.341823,-1.578252
mohammadiaSupervised,mohammadiaSupervised_080ut03dB.wav,3,80,2.277721,-0.154189,6.713800,0.989103
