algorithm,filename,Input SNR,utterances,pesq,pesqImp,segSNR,segSNRImp
mohammadiaOnline,mohammadiaOnline_001ut-3dB.wav,-3,1,1.784803,-0.175193,12.070368,6.084966
mohammadiaOnline,mohammadiaOnline_001ut-6dB.wav,-6,1,1.570047,-0.254830,9.272335,6.308033
mohammadiaOnline,mohammadiaOnline_001ut00dB.wav,0,1,2.004916,-0.114969,15.652274,6.662358
mohammadiaOnline,mohammadiaOnline_001ut03dB.wav,3,1,2.184105,-0.123642,13.537800,1.562617
mohammadiaOnline,mohammadiaOnline_001ut06dB.wav,6,1,2.379171,-0.093632,12.074922,-2.864527
mohammadiaOnline,mohammadiaOnline_005ut-3dB.wav,-3,5,1.714905,-0.245091,11.736265,5.750862
mohammadiaOnline,mohammadiaOnline_005ut-6dB.wav,-6,5,1.474834,-0.350043,10.355701,7.391399
mohammadiaOnline,mohammadiaOnline_005ut00dB.wav,0,5,1.957336,-0.162549,14.118751,5.128836
mohammadiaOnline,mohammadiaOnline_005ut03dB.wav,3,5,2.179223,-0.128524,12.833681,0.858499
mohammadiaOnline,mohammadiaOnline_005ut06dB.wav,6,5,2.363838,-0.108965,12.330861,-2.608588
mohammadiaOnline,mohammadiaOnline_010ut-3dB.wav,-3,10,1.681783,-0.278213,13.152846,7.167443
mohammadiaOnline,mohammadiaOnline_010ut-6dB.wav,-6,10,1.524871,-0.300006,9.212245,6.247943
mohammadiaOnline,mohammadiaOnline_010ut00dB.wav,0,10,1.958173,-0.161712,15.091855,6.101939
mohammadiaOnline,mohammadiaOnline_010ut03dB.wav,3,10,2.162979,-0.144768,14.520811,2.545628
mohammadiaOnline,mohammadiaOnline_010ut06dB.wav,6,10,2.377270,-0.095533,13.110697,-1.828752
mohammadiaOnline,mohammadiaOnline_050ut-3dB.wav,-3,50,1.737172,-0.222823,9.969705,3.984303
mohammadiaOnline,mohammadiaOnline_050ut-6dB.wav,-6,50,1.429621,-0.395256,7.700987,4.736685
mohammadiaOnline,mohammadiaOnline_050ut00dB.wav,0,50,1.972930,-0.146956,15.441397,6.451481
mohammadiaOnline,mohammadiaOnline_050ut03dB.wav,3,50,2.177924,-0.129823,15.877337,3.902155
mohammadiaOnline,mohammadiaOnline_050ut06dB.wav,6,50,2.365624,-0.107179,17.820875,2.881426
mohammadiaOnline,mohammadiaOnline_080ut-3dB.wav,-3,80,1.713225,-0.246771,11.940253,5.954850
mohammadiaOnline,mohammadiaOnline_080ut-6dB.wav,-6,80,1.437542,-0.387335,10.526042,7.561741
mohammadiaOnline,mohammadiaOnline_080ut00dB.wav,0,80,1.986094,-0.133791,12.520250,3.530334
mohammadiaOnline,mohammadiaOnline_080ut03dB.wav,3,80,2.170589,-0.137158,13.127210,1.152028
mohammadiaOnline,mohammadiaOnline_080ut06dB.wav,6,80,2.366938,-0.105865,13.896404,-1.043045
mohammadiaSupervised,mohammadiaSupervised_001ut-3dB.wav,-3,1,1.918733,-0.041263,6.638631,0.653229
mohammadiaSupervised,mohammadiaSupervised_001ut-6dB.wav,-6,1,1.724281,-0.100596,2.713599,-0.250702
mohammadiaSupervised,mohammadiaSupervised_001ut00dB.wav,0,1,2.084658,-0.035227,8.514758,-0.475158
mohammadiaSupervised,mohammadiaSupervised_001ut03dB.wav,3,1,2.256007,-0.051739,12.617703,0.642521
mohammadiaSupervised,mohammadiaSupervised_001ut06dB.wav,6,1,2.384931,-0.087872,13.475782,-1.463668
mohammadiaSupervised,mohammadiaSupervised_005ut-3dB.wav,-3,5,1.808155,-0.151841,5.526102,-0.459301
mohammadiaSupervised,mohammadiaSupervised_005ut-6dB.wav,-6,5,1.569914,-0.254963,8.737774,5.773472
mohammadiaSupervised,mohammadiaSupervised_005ut00dB.wav,0,5,1.835293,-0.284592,7.984089,-1.005827
mohammadiaSupervised,mohammadiaSupervised_005ut03dB.wav,3,5,1.940028,-0.367719,7.642519,-4.332664
mohammadiaSupervised,mohammadiaSupervised_005ut06dB.wav,6,5,2.068351,-0.404452,7.284389,-7.655060
mohammadiaSupervised,mohammadiaSupervised_010ut-3dB.wav,-3,10,1.645467,-0.314528,4.954232,-1.031171
mohammadiaSupervised,mohammadiaSupervised_010ut-6dB.wav,-6,10,1.600571,-0.224306,7.362576,4.398274
mohammadiaSupervised,mohammadiaSupervised_010ut00dB.wav,0,10,1.779570,-0.340316,2.617728,-6.372188
mohammadiaSupervised,mohammadiaSupervised_010ut03dB.wav,3,10,1.921715,-0.386032,4.677895,-7.297287
mohammadiaSupervised,mohammadiaSupervised_010ut06dB.wav,6,10,2.039098,-0.433705,2.836896,-12.102553
mohammadiaSupervised,mohammadiaSupervised_050ut-3dB.wav,-3,50,1.688250,-0.271746,1.463483,-4.521920
mohammadiaSupervised,mohammadiaSupervised_050ut-6dB.wav,-6,50,1.514875,-0.310002,4.863014,1.898712
mohammadiaSupervised,mohammadiaSupervised_050ut00dB.wav,0,50,1.809890,-0.309995,0.603698,-8.386218
mohammadiaSupervised,mohammadiaSupervised_050ut03dB.wav,3,50,1.990896,-0.316851,2.698403,-9.276779
mohammadiaSupervised,mohammadiaSupervised_050ut06dB.wav,6,50,2.088893,-0.383910,2.570020,-12.369429
mohammadiaSupervised,mohammadiaSupervised_080ut-3dB.wav,-3,80,1.770232,-0.189763,6.788806,0.803403
mohammadiaSupervised,mohammadiaSupervised_080ut-6dB.wav,-6,80,1.522307,-0.302569,11.311270,8.346969
mohammadiaSupervised,mohammadiaSupervised_080ut00dB.wav,0,80,1.936021,-0.183865,5.195292,-3.794623
mohammadiaSupervised,mohammadiaSupervised_080ut03dB.wav,3,80,2.023646,-0.284100,6.416891,-5.558292
mohammadiaSupervised,mohammadiaSupervised_080ut06dB.wav,6,80,2.170815,-0.301988,6.620291,-8.319158
