algorithm,filename,Input SNR,utterances,pesq,pesqImp,segSNR,segSNRImp
mohammadiaOnline,mohammadiaOnline_001ut-3dB.wav,-3,1,1.935719,-0.136733,-7.374715,0.519643
mohammadiaOnline,mohammadiaOnline_001ut-6dB.wav,-6,1,1.771044,-0.110419,-7.209228,0.786974
mohammadiaOnline,mohammadiaOnline_001ut00dB.wav,0,1,2.000724,-0.263789,-2.376440,-0.774890
mohammadiaOnline,mohammadiaOnline_001ut03dB.wav,3,1,2.250941,-0.206202,6.569842,-6.694897
mohammadiaOnline,mohammadiaOnline_001ut06dB.wav,6,1,2.440568,-0.206941,10.183549,-3.341231
mohammadiaOnline,mohammadiaOnline_005ut-3dB.wav,-3,5,1.928744,-0.143708,-7.015632,0.878727
mohammadiaOnline,mohammadiaOnline_005ut-6dB.wav,-6,5,1.750583,-0.130880,-7.220302,0.775900
mohammadiaOnline,mohammadiaOnline_005ut00dB.wav,0,5,1.987673,-0.276840,-4.015206,-2.413657
mohammadiaOnline,mohammadiaOnline_005ut03dB.wav,3,5,2.212041,-0.245102,8.289196,-4.975542
mohammadiaOnline,mohammadiaOnline_005ut06dB.wav,6,5,2.476952,-0.170557,7.046090,-6.478690
mohammadiaOnline,mohammadiaOnline_010ut-3dB.wav,-3,10,1.946911,-0.125541,-7.668365,0.225993
mohammadiaOnline,mohammadiaOnline_010ut-6dB.wav,-6,10,1.772986,-0.108477,-7.764641,0.231561
mohammadiaOnline,mohammadiaOnline_010ut00dB.wav,0,10,2.002243,-0.262270,-2.616508,-1.014959
mohammadiaOnline,mohammadiaOnline_010ut03dB.wav,3,10,2.254076,-0.203066,11.611417,-1.653321
mohammadiaOnline,mohammadiaOnline_010ut06dB.wav,6,10,2.469267,-0.178242,13.456300,-0.068479
mohammadiaOnline,mohammadiaOnline_050ut-3dB.wav,-3,50,1.943082,-0.129370,-7.630524,0.263835
mohammadiaOnline,mohammadiaOnline_050ut-6dB.wav,-6,50,1.761499,-0.119964,-7.825926,0.170275
mohammadiaOnline,mohammadiaOnline_050ut00dB.wav,0,50,2.001661,-0.262852,-2.748265,-1.146716
mohammadiaOnline,mohammadiaOnline_050ut03dB.wav,3,50,2.227459,-0.229683,12.379646,-0.885092
mohammadiaOnline,mohammadiaOnline_050ut06dB.wav,6,50,2.475874,-0.171635,11.845476,-1.679304
mohammadiaOnline,mohammadiaOnline_080ut-3dB.wav,-3,80,1.956879,-0.115573,-7.573099,0.321260
mohammadiaOnline,mohammadiaOnline_080ut-6dB.wav,-6,80,1.774585,-0.106878,-7.829923,0.166279
mohammadiaOnline,mohammadiaOnline_080ut00dB.wav,0,80,2.011031,-0.253482,-1.955815,-0.354266
mohammadiaOnline,mohammadiaOnline_080ut03dB.wav,3,80,2.256506,-0.200637,10.558652,-2.706086
mohammadiaOnline,mohammadiaOnline_080ut06dB.wav,6,80,2.489641,-0.157868,11.384992,-2.139788
mohammadiaSupervised,mohammadiaSupervised_001ut-3dB.wav,-3,1,1.918556,-0.153896,-3.189663,4.704696
mohammadiaSupervised,mohammadiaSupervised_001ut-6dB.wav,-6,1,1.729683,-0.151780,-7.576740,0.419462
mohammadiaSupervised,mohammadiaSupervised_001ut00dB.wav,0,1,2.004783,-0.259731,-3.553388,-1.951838
mohammadiaSupervised,mohammadiaSupervised_001ut03dB.wav,3,1,2.396725,-0.060417,5.251480,-8.013259
mohammadiaSupervised,mohammadiaSupervised_001ut06dB.wav,6,1,2.534197,-0.113312,4.733666,-8.791113
mohammadiaSupervised,mohammadiaSupervised_003ut-3dB.wav,-3,3,1.996220,-0.076232,3.784527,11.678885
mohammadiaSupervised,mohammadiaSupervised_003ut-6dB.wav,-6,3,1.777351,-0.104112,-0.186456,7.809746
mohammadiaSupervised,mohammadiaSupervised_003ut00dB.wav,0,3,2.033615,-0.230898,-3.495699,-1.894149
mohammadiaSupervised,mohammadiaSupervised_003ut03dB.wav,3,3,2.425175,-0.031968,10.612780,-2.651958
mohammadiaSupervised,mohammadiaSupervised_003ut06dB.wav,6,3,2.590282,-0.057228,-1.871398,-15.396177
mohammadiaSupervised,mohammadiaSupervised_005ut-3dB.wav,-3,5,1.985693,-0.086759,-3.552527,4.341832
mohammadiaSupervised,mohammadiaSupervised_005ut-6dB.wav,-6,5,1.768678,-0.112785,-1.073418,6.922783
