,SDR,SIR,SAR,SegSNR,PESQimp,MOSimp,STOIimp,WRR,PRRimp
SDR,1,0.349281634,-0.34966998,0.663936149,0.268979567,none,none,none,none
SIR,0.349281634,1,0.064901381,0.304626195,0.737460103,none,none,none,none
SAR,-0.34966998,0.064901381,1,-0.643041588,0.476862559,none,none,none,none
SegSNR,0.663936149,0.304626195,-0.643041588,1,0.530220289,none,none,none,none
PESQimp,0.268979567,0.737460103,0.476862559,0.530220289,1,0.503248727,0.498803761,none,0.575235887
MOSimp,none,none,none,none,0.503248727,1,none,none,none
STOIimp,none,none,none,none,0.498803761,none,1,none,none
WRR,none,none,none,none,none,none,none,1,none
PRRimp,none,none,none,none,0.575235887,none,none,none,1
